ISOAlpha2;CommodityName;UnitFactor;Concentration;ConcComment;UsedFactor;UsedComment
AO;Manganeese;0;NULL;NULL;0.001;0
AO;Mercury;0;NULL;NULL;1e-06;"By-product of other ores"
AO;Molybdenum;0;NULL;NULL;0.001;"By-product of other ores"
AO;Nickel;0;NULL;NULL;0.001;"By-product of other ores"
AO;"Niobium + Tantalum";0;NULL;NULL;0.001;"By-product of other ores"
AO;"Platinum-group (PGM)";0;NULL;NULL;1e-06;"By-products of other ores (Copper and Nickel)"
AO;"Rare Earths Metals";0;NULL;NULL;0.001;"contained in monazite, bastnaesite, xenotime, etc"
AO;Selenium;0;NULL;NULL;0.001;"By-product of other ores"
AO;Silver;0;NULL;NULL;1e-06;"By-products of other ores"
AO;Strontium;0;NULL;NULL;0.001;0
AO;Tellurium;0;NULL;NULL;0.001;0
AO;Tin;0;NULL;NULL;0.001;0
AO;"Titanium (incl/ Ilmenite and Rutile)";0;NULL;NULL;0.001;"By-product of other ores"
AO;Tungsten;0;NULL;NULL;0.227272727272727;0
AO;Uranium;0;NULL;NULL;0.001;0
AO;Vanadium;0;NULL;NULL;0.001;"By-product of other ores"
AO;Zinc;0;NULL;NULL;0.0065;"World average grade"
AO;"Zirconium and Hafnium";0;NULL;NULL;0.001;"By-product of other ores"
AO;"Ball clay";0;NULL;NULL;0.001;0
AO;"Bentonite, sepiolite and attapulgite";0;NULL;NULL;0.001;0
AO;"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing)";0;NULL;NULL;0.001;0
AO;"Fuller's earth";0;NULL;NULL;0.001;0
AO;Kaolin;0;NULL;NULL;0.001;0
AO;"Potter clay";0;NULL;NULL;0.001;0
AO;"Special clay";0;NULL;NULL;0.001;0
AO;"Slate clay";0;NULL;NULL;0.001;0
AO;"Industrial sand";0;NULL;NULL;0.001;0
AO;"Sillica sand (quartzsand)";0;NULL;NULL;0.001;0
AO;"Siliceous earth";0;NULL;NULL;0.001;0
AO;Calcite;0;NULL;NULL;0.001;0
AO;Chalk;0;NULL;NULL;0.001;0
AO;"Chert and flint";0;NULL;NULL;0.001;0
AO;Dolomite;0;NULL;NULL;0.001;0
AO;"Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.)";0;NULL;NULL;0.001;0
AO;Limestone;0;NULL;NULL;0.001;0
AO;Sandstone;0;NULL;NULL;0.001;0
AO;"Slate including fill (incl. roof slate)";0;NULL;NULL;0.001;0
AO;"Crushed stone";0;NULL;NULL;0.001;0
AO;"Peat for agricultural use";0;NULL;NULL;0.001;0
AO;"Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)";0;NULL;NULL;0.001;0
AO;Amber;0;NULL;NULL;0.001;0
AO;Barite;0;NULL;NULL;0.001;0
AO;"Borate minerals";0;NULL;NULL;0.001;0
AO;"Diamonds, gems";2e-07;5.40703e-08;NULL;3.6988882991217;"National average (unweighted)"
AO;"Diamonds, industrial";2e-10;5.40703e-08;NULL;2e-10;"National average (unweighted)"
AO;Diatomite;0;NULL;NULL;0.001;0
AO;Fluorspar;0;NULL;NULL;0.001;"intead of forming sand"
AO;"Graphite, natural";0;NULL;NULL;0.001;0
AO;"Iron ore for pigments";0;NULL;NULL;0.001;0
AO;Magnesite;0;NULL;NULL;0.001;0
AO;Mica;0;NULL;NULL;0.001;0
AO;"Ochre and pigment earths";0;NULL;NULL;0.001;0
AO;"Pegmatite sand";0;NULL;NULL;0.001;0
AO;"Phosphate rock (natural phosphates)";0;NULL;NULL;0.001;P2O5
AO;Potash;0;NULL;NULL;0.001;"K2O; BGS reports for some countries K2O content in 'potassic salts', 'nitrate', or 'chloride'"
AO;"Qartz and quartzite";0;NULL;NULL;0.001;0
AO;"Strontium minerals";0;NULL;NULL;0.001;0
AO;Sulphur;0;NULL;NULL;0.001;"elem. And ind. Sulfur"
AO;"Sulphur from pyrites";0;NULL;NULL;0.001;0
